"RowID","TYPE","TABLE","AgCROS.VarName","ParameterDescription","Units"
"832","Measurement","MeasGrazingPlants","Surface Litter kg/ha (dry)","Biomass, surface litter, plant tissue, mean or single measurement, kilograms per hectare","kg/ha (dryweight)"
"833","Measurement","MeasGrazingPlants","Surface Litter STD kg/ha (dry)","Biomass, surface litter, plant tissue, StdDev, kilograms per hectare","kg/ha (dryweight)"
"834","Measurement","MeasWaterQualityConc","Surface or leaching","Is the data for surface or leaching loss?","none"
"835","Measurement","MeasWaterQualityArea","Surface or leaching","Is the data for surface or leaching loss?","none"
"836","Measurement","MeasARGenes","Target",NA,NA
"837","Background","Persons","Telephone","Phone","none"
"838","Characterization","WeatherDaily","Temp Max degC","Temperature, air, daily, maximum, degrees Celsius","degrees Celsius"
"839","Characterization","WeatherDaily","Temp Min degC","Temperature, air, daily, minimum, degrees Celsius","degrees Celsius"
"840","Measurement","MeasPlantMonitoring","Test Units",NA,NA
"841","Measurement","MeasPlantMonitoring","Test Value",NA,NA
"842","Measurement","MeasPlantMonitoring","Test Value STD",NA,NA
"843","Background","Treatments","Tillage Descriptor","Tillage","none"
"844","Management","MgtTillage","Tillage Event","Tillage Event, operations","none"
"845","Management","MgtTillage","Tillage Event Depth, cm","Event depth, operations, soil, centimeters","cm"
"846","Management","MgtTillage","Tillage Event Method","Event method, operations","none"
"847","Measurement","MeasGHGFlux","Time","Sampling time, hours and minutes","Hours:minutes"
"848","Measurement","MeasGasNutrientLoss","Time","Time","hr/min/sec"
"849","Measurement","MeasWaterQualityConc","Time","Time","hr/min/sec"
"850","Measurement","MeasWaterQualityArea","Time","Time","hr/min/sec"
"851","Measurement","MeasWindErosionConc","Time","Time","hr/min/sec"
"852","Measurement","MeasWindErosionArea","Time","Time","hr/min/sec"
"853","Measurement","MeasSoilCover","Timing Descriptor","When this was measured","none"
"854","Background","Citations","Title","Reference Title","none"
"855","Management","MgtAmendments","Total Amend Amount kg/ha","Amendment added, kg per hectare","kg/ha"
"856","Measurement","MeasWaterQualityArea","Total Dissolved N kg N/ha","Total Dissolved N kg N/ha","kg N/ha"
"857","Measurement","MeasWaterQualityArea","Total Dissolved N kg N/ha STD","Total Dissolved N kg N/ha STD","kg N/ha"
"858","Measurement","MeasWaterQualityConc","Total Dissolved N mg/L","Total Dissolved N mg/L","Total Dissolved N mg/L"
"859","Measurement","MeasWaterQualityConc","Total Dissolved N mg/L STD","Total Dissolved N mg/L STD","Total Dissolved N mg/L"
"860","Management","MgtAmendments","Total K Amount kgK/ha","K amount, kilograms potassium per hectare","kg K/ha"
"861","Management","MgtAmendments","Total N Amount kgN/ha","Total amount, amendment, kilograms nitrogen per hectare","kg N/ha"
"862","Characterization","WeatherDaily","Total Net Radiation MJ/m2/d","Solar radiation, total, no media, daily, megajoules per square meter","MJ/m2/d"
"863","Management","MgtAmendments","Total P Amount kgP/ha","P amount, kilograms phosphorus per hectare","kg P/ha"
"864","Management","MgtAmendments","Total Pest Amount kg/ha","Pesticide active ingredient amount, kilograms per hectare","kg/ha"
"865","Background","Treatments","Treatment Descriptor","Treatment descriptor","none"
"866","Background","Treatments","Treatment ID","Treatment identifier","none"
"867","Background","ExperUnits","Treatment ID","Treatment identifier","none"
"868","Management","MgtAmendments","Treatment ID","Treatment identifier","none"
"869","Management","MgtPlanting","Treatment ID","Treatment identifier","none"
"870","Management","MgtTillage","Treatment ID","Treatment identifier","none"
"871","Management","MgtGrowthStages","Treatment ID","Treatment identifier","none"
"872","Management","MgtResidue","Treatment ID","Treatment identifier","none"
"873","Management","MgtGrazing","Treatment ID","Treatment identifier","none"
"874","Measurement","MeasNutrEff","Treatment ID","Treatment identifier","none"
"875","Measurement","MeasSoilPhys","Treatment ID","Treatment identifier","none"
"876","Measurement","MeasSoilChem","Treatment ID","Treatment identifier","none"
"877","Measurement","MeasSoilBiol","Treatment ID","Treatment identifier","none"
"878","Measurement","MeasSoilCover","Treatment ID","Treatment identifier","none"
"879","Measurement","MeasARGenes","Treatment ID","Treatment identifier","none"
"880","Measurement","MeasGHGFlux","Treatment ID","Treatment identifier","none"
"881","Measurement","MeasResidueMgnt","Treatment ID","Treatment identifier","none"
"882","Measurement","MeasHarvestFraction","Treatment ID","Treatment identifier","none"
"883","Measurement","MeasBiomassCHO","Treatment ID","Treatment identifier","none"
"884","Measurement","MeasBiomassEnergy","Treatment ID","Treatment identifier","none"
"885","Measurement","MeasBiomassMinAn","Treatment ID","Treatment identifier","none"
"886","Measurement","MeasGrazingPlants","Treatment ID","Treatment identifier","none"
"887","Measurement","MeasYieldNutrientUptake","Treatment ID","Treatment identifier","none"
"888","Measurement","MeasGasNutrientLoss","Treatment ID","Treatment identifier","none"
"889","Measurement","MeasWaterQualityConc","Treatment ID","Treatment identifier","none"
"890","Measurement","MeasWaterQualityArea","Treatment ID","Treatment identifier","none"
"891","Measurement","MeasPlantMonitoring","Treatment ID","Treatment identifier","none"
"892","Measurement","MeasCropForageQuality","Treatment ID","Treatment identifier","none"
"893","Measurement","MeasCropNutrientCycling","Treatment ID","Treatment identifier","none"
"894","Measurement","MeasWindErosionConc","Treatment ID","Treatment identifier","none"
"895","Measurement","MeasWindErosionArea","Treatment ID","Treatment identifier","none"
"896","Measurement","MeasSuppRes","Treatment ID","Treatment identifier","none"
"897","Measurement","MeasSoilChem","TSC gC/kg","Total soil carbon, soil, mean or single measurement, grams C per kilogram soil","gC/kg"
"898","Measurement","MeasSoilChem","TSC STD gC/kg","Total soil carbon, soil, StdDev, grams C per kilogram soil","g/kg"
"899","Measurement","MeasSoilChem","TSN gN/kg","Total soil nitrogen, soil, mean or single measurement, grams N per kilogram soil","gN/kg"
"900","Measurement","MeasSoilChem","TSN STD gN/kg","Total soil nitrogen, soil, StdDev, grams N per kilogram soil","g/kg"
"901","Background","Citations","Type","Reference type","none"
"902","Measurement","MeasWindErosionConc","ug B/kg","ug B/kg","ug B/kg"
"903","Measurement","MeasWindErosionConc","ug B/kug STD","ug B/kg","ug B/kg"
"904","Measurement","MeasWindErosionConc","ug Cu/kg","ug Cu/kg","ug Cu/kg"
"905","Measurement","MeasWindErosionConc","ug Cu/kug STD","ug Cu/kg","ug Cu/kg"
"906","Measurement","MeasWindErosionConc","ug Fe/kg","ug Fe/kg","ug Fe/kg"
"907","Measurement","MeasWindErosionConc","ug Fe/kug STD","ug Fe/kg","ug Fe/kg"
"908","Measurement","MeasWindErosionConc","ug Mn/kg","ug Mn/kg","ug Mn/kg"
"909","Measurement","MeasWindErosionConc","ug Mn/kug STD","ug Mn/kg","ug Mn/kg"
"910","Measurement","MeasWindErosionConc","ug Mo/kg","ug Mo/kg","ug Mo/kg"
"911","Measurement","MeasWindErosionConc","ug Mo/kg STD","ug Mo/kg","ug Mo/kg"
"912","Measurement","MeasWindErosionConc","ug Zn/kg","ug Zn/kg","ug Zn/kg"
"913","Measurement","MeasWindErosionConc","ug Zn/kug STD","ug Zn/kg","ug Zn/kg"
"914","Measurement","MeasCropForageQuality","Unit",NA,NA
"915","Measurement","MeasResidueMgnt","Unit Grain Weight mg","Individual kernel weight, plant tissue, mean or single measurement, megagrams","mg biomass"
"916","Measurement","MeasCropNutrientCycling","Unit Grain Weight mg",NA,"mg"
"917","Measurement","MeasCropNutrientCycling","Unit Grain Weight STD",NA,"mg"
"918","Measurement","MeasResidueMgnt","Unit Grain Weight STD mg","Grain weight, plant tissue, StdDev, megagrams","mg biomass"
"919","Measurement","MeasARGenes","Units",NA,NA
"920","Measurement","MeasSoilPhys","Upper cm","Soil horizon depth, upper, centimeter","cm"
"921","Measurement","MeasSoilChem","Upper cm","Upper soil layer, soil, centimeters","cm"
"922","Measurement","MeasSoilBiol","Upper cm","Upper soil layer, soil, centimeters","cm"
"923","Measurement","MeasARGenes","Upper cm","Upper soil layer, soil, centimeters","cm"
"924","Measurement","MeasARGenes","Value",NA,NA
"925","Measurement","MeasCropForageQuality","Value",NA,NA
"926","Measurement","MeasCropForageQuality","Value STD",NA,NA
"927","Measurement","MeasBiomassEnergy","Volatile Matter g/kg","Volatile Matter, plant tissue, grams per kilogram dry matter","g/kg"
"928","Measurement","MeasBiomassEnergy","Volatile Matter STD g/kg","Volatile Matter, plant tissue, StdDev, grams per kilogram dry matter","g/kg"
"929","Measurement","MeasWaterQualityConc","Water mm","Water mm","mm"
"930","Measurement","MeasWaterQualityArea","Water mm","Water mm","mm"
"931","Measurement","MeasWaterQualityConc","Water mm STD","Water mm STD","mm"
"932","Measurement","MeasWaterQualityArea","Water mm STD","Water mm STD","mm"
"933","Characterization","WeatherDaily","Weather Date","Date","mm/dd/yyyy"
"934","Characterization","WeatherStation","Weather Elevation m","Elevation of weather station, meters","m"
"935","Characterization","WeatherStation","Weather Latitude decimal deg","Latitude of weather station, decimal degrees","decimal degrees"
"936","Characterization","WeatherStation","Weather Longitude decimal deg","Longitude of weather station, decimal degrees","decimal degrees"
"937","Characterization","WeatherStation","Weather Station ID","Station identifier","none"
"938","Characterization","WeatherDaily","Weather Station ID","Station identifier","none"
"939","Characterization","WeatherStation","Weather Station URL","Location of data","none"
"940",NA,"WeatherDaily","Weather Time","Sampling time, hours and minutes","Hours:minutes"
"941","Background","Persons","Web Site","Website","none"
"942","Measurement","MeasSuppRes","What is Measured","What is being measured?","none"
"943","Measurement","MeasSoilPhys","Wilting Point % volume","Wilting point, soil, percent volume","% vol (cu cm H2O/cu cm soil*100)"
"944","Measurement","MeasSoilPhys","Wilting Point STD % volume","Wilting point, soil, StdDev, percent volume","% vol (cu cm H2O/cu cm soil*100)"
"945","Characterization","WeatherDaily","Wind Direction deg from N","Wind direction air, daily, mean, degrees from north","degrees from north"
"946","Characterization","WeatherDaily","Wind Speed m/s","Wind speed, air, daily, mean, meters per second","m/s"
"947","Measurement","MeasBiomassCHO","Xylan g/kg","Xylan, plant tissue, grams per kilogram","g/kg"
"948","Measurement","MeasBiomassCHO","Xylan STD g/kg","Xylan, plant tissue, StdDev, grams per kilogram","g/kg"
"949","Measurement","MeasBiomassMinAn","Zn Concentration mg/kg","Zn Concentration, plant tissue, milligrams per kilogram","mg/kg"
"950","Measurement","MeasBiomassMinAn","Zn Concentration STD mg/kg","Zn Concentration, plant tissue, StdDev, milligrams per kilogram","mg/kg"
"951","Measurement","MeasSoilChem","Zn mgZn/kg","Zinc, soil, milligrams Zn per kilogram soil","mg Zn/kg"
"952","Measurement","MeasSoilChem","Zn STD mgZn/kg","Zinc, soil, StdDev, milligrams Zn per kilogram soil","mg Zn/kg"
